OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
1,WY42,man83,27,66.74,11.63,2017-08-08,2017-09-28
2,HV15,man22,77,59.9,11.39,2017-08-06,2017-10-04
3,YN06,man42,34,66.57,14.73,2017-08-03,2017-10-10
4,NO36,man44,44,29.57,29.53,2017-09-16,2017-10-06
5,QW64,man97,64,57.44,15.38,2017-07-27,2017-09-24
6,JH05,man42,73,29.04,16.01,2017-09-04,2017-10-13
7,MA85,man58,99,63.8,21.12,2017-08-25,2017-09-26
8,BG58,man07,86,99.05,11.12,2017-08-26,2017-10-10
9,HI73,man99,69,98.88,27.69,2017-08-16,2017-10-19
10,QK59,man94,29,26.64,28.96,2017-07-23,2017-10-01
11,EH98,man95,91,32.1,18.87,2017-08-12,2017-10-09
12,XG84,man57,71,98.0,23.39,2017-07-30,2017-10-14
13,GU07,man62,4,78.64,25.67,2017-08-10,2017-09-20
14,QE51,man59,31,55.15,16.29,2017-08-05,2017-09-28
15,ON98,man37,45,92.96,12.68,2017-09-01,2017-10-15
16,IS41,man34,10,96.75,15.54,2017-09-13,2017-09-28
17,TB57,man39,94,36.73,12.07,2017-07-26,2017-10-08
18,JN88,man66,93,64.72,26.35,2017-08-06,2017-09-30
19,MZ58,man16,7,36.29,29.02,2017-09-17,2017-09-21
20,PT18,man37,84,51.19,21.89,2017-08-23,2017-10-10
21,ND82,man35,85,48.5,26.86,2017-09-03,2017-10-13
22,LH98,man39,52,45.49,18.53,2017-08-15,2017-10-09
23,KN59,man38,65,62.41,28.66,2017-09-13,2017-10-19
24,QP01,man10,15,75.59,26.62,2017-08-17,2017-10-02
25,GQ43,man47,93,51.35,19.59,2017-08-13,2017-09-28
26,SX76,man19,14,98.95,19.59,2017-08-19,2017-10-07
27,BL51,man42,32,62.93,22.18,2017-08-13,2017-10-14
28,PO39,man07,23,83.12,22.6,2017-08-16,2017-10-04
29,BI80,man81,81,97.09,22.53,2017-08-16,2017-10-03
30,JP95,man14,3,43.03,12.6,2017-09-07,2017-09-28
31,CE99,man35,9,83.32,24.12,2017-09-19,2017-10-13
32,WV70,man75,39,82.8,29.28,2017-07-29,2017-09-22
33,RY44,man16,8,78.7,15.34,2017-08-01,2017-10-11
34,RM23,man68,22,77.12,25.3,2017-08-22,2017-09-23
35,AR33,man57,71,38.1,12.31,2017-07-29,2017-10-04
36,LF69,man65,60,68.63,18.25,2017-08-31,2017-10-12
37,YF93,man04,66,78.51,20.26,2017-09-08,2017-10-05
38,WX65,man76,80,28.52,14.89,2017-09-12,2017-10-03
39,PU24,man61,47,74.14,23.91,2017-08-26,2017-10-06
40,TD37,man84,60,47.39,25.47,2017-08-26,2017-10-16
41,MT43,man44,53,35.86,18.68,2017-07-29,2017-10-06
42,LJ80,man08,53,36.34,28.4,2017-08-07,2017-10-14
43,YT14,man04,38,26.6,18.87,2017-08-20,2017-09-26
44,IN72,man89,15,55.11,10.69,2017-08-28,2017-10-12
45,HL12,man27,18,35.12,14.11,2017-09-13,2017-10-02
46,YB44,man95,81,63.82,10.13,2017-07-25,2017-10-19
47,YR64,man80,30,47.06,22.67,2017-09-12,2017-09-27
48,LO94,man00,63,21.1,10.48,2017-09-04,2017-09-30
49,RT17,man43,26,59.08,12.62,2017-09-14,2017-10-13
50,VY22,man54,87,94.28,29.21,2017-08-24,2017-10-01
